副本ID(主线支线挑战为类型ID+世界ID+2位序号，其他为类型ID+4位序号)  探索是11开头的,副本类型（1：主线；2：挑战；3：活动副本；4:多人副本；5：PVP调用；6；庇护所调用；7：支线副本；8：亲密度副本；9：限时活动副本; 10:守护试炼 11：探索副本 12:转职副本 14：公会矿洞 15:幻卡 16:百层塔 17：公会战 21:天守阁）,世界ID,副本名称,副本等级,副本经验,角色经验,副本消耗类型（消耗类型ID）,进入副本消耗,完成副本消耗,副本限制人数,副本阵容ID,前置副本,解锁等级,对应的主线本ID,星级条件描述,星级条件脚本,星级条件奖励类型,星级条件奖励数量,Lua脚本,布阵摄像机,战斗摄像机,结算展示摄像机,结算摄像机,影子摄像机,副本攻略,副本攻略概述（12字）,限制类型1(0：无限制1：限定某些角色登场2：限定某职业角色登场3：限定等级以上角色登场4：限定某性别角色登场5：限定某势力角色登场),限制参数1,限制类型2,限制参数2,副本技能(玩家队伍光环技能),副本特殊要求ICON,副本特殊要求说明,进入布阵时触发的剧情,结算完成后战斗场景触发的剧情,结算完成后中地图触发的剧情,限制次数,是否可以扫荡(1可以0不可以）,亲密度,副本职业,副本战斗力,回合耗尽(0:不显示 1：回合耗尽后，战斗失败 :2：回合耗尽后，战斗胜利）,副本金币和boss伤害挂钩（X+伤害^y*z)，伤害不超过boss血量R,公会战防御队伍出站人数
10107,1,1,101071,4,50,20,4,2,3,3,1,10106,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_03.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,3000001;3000005,buzhen_icon_8,1527,10,0,0,0,0,1,13,341,1,0,0
10108,1,1,101081,4,50,20,4,2,3,3,1,10107,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_03_01.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,3000001;3000005,buzhen_icon_8,1527,11,1003,0,0,0,1,11;13,341,1,0,0
10109,1,1,101091,5,50,20,4,2,3,3,1,10108,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_03_02.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,3000001;3000005,buzhen_icon_8,1527,1001,0,0,0,0,1,12;13,354,1,0,0
10110,1,1,101101,6,50,20,4,2,3,3,1,10109,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_03_03.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,3000001;3000005,buzhen_icon_8,1527,1002,12,0,0,0,1,14,244,1,0,0
10111,1,1,101111,6,50,20,4,2,3,3,1,10110,5,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_04.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,3000001;3000005,buzhen_icon_8,1527,1005,0,0,0,0,1,12;13,367,1,0,0
10112,1,1,101121,7,50,20,4,2,3,3,1,10111,5,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_04_01.lua,,,,,ShadowCamera2,0,101013,0,0,0,0,3000001;3000005,buzhen_icon_8,1527,0,0,0,0,0,1,12;13,506,1,0,0
10113,1,1,101131,8,50,20,4,2,3,3,1,10112,5,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_04_02.lua,,,,,ShadowCamera2,0,101013,0,0,0,0,3000001;3000005,buzhen_icon_8,1527,1006,0,0,0,0,1,11;12,524,1,0,0
10114,1,1,101141,8,50,20,4,2,3,3,1,10113,5,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_04_03.lua,,,,,ShadowCamera2,0,101013,0,0,0,0,3000001;3000005,buzhen_icon_8,1527,0,0,0,0,0,1,13;14,524,1,0,0
10115,1,1,101151,8,50,20,4,2,3,3,1,10114,5,0,1018;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep01_04_04.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,3000001;3000005,buzhen_icon_10;buzhen_icon_8,1526;1527,13,14,0,0,0,1,12,655,1,0,0
10116,1,1,101161,9,50,20,4,2,3,4,1,10115,6,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_05.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,15,0,0,0,0,1,12;13,541,1,0,0
10117,1,1,101171,9,50,20,4,2,3,4,1,10116,6,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_05_01.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,0,0,0,0,0,1,12,541,1,0,0
10118,1,1,101181,10,50,20,4,2,3,4,1,10117,6,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_05_02.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,0,0,0,0,0,1,11;14,558,1,0,0
10119,1,1,101191,10,50,20,4,2,3,4,1,10118,6,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_05_03.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,0,0,0,0,0,1,11;12,558,1,0,0
10120,1,1,101201,10,50,20,4,2,3,4,1,10119,6,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep01_05_04.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,buzhen_icon_8,1527,16,0,0,0,0,1,15,720,1,0,0
10121,1,1,101211,10,50,20,4,2,3,4,1,10120,10,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_06.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,17,0,0,0,0,1,11;14,576,1,0,0
10122,1,1,101221,10,50,20,4,2,3,4,1,10121,10,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_06_01.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,0,0,0,0,0,1,14;15,576,1,0,0
10123,1,1,101231,10,50,20,4,2,3,4,1,10122,10,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_06_02.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,0,0,0,0,0,1,14;15,593,1,0,0
10124,1,1,101241,10,50,20,4,2,3,4,1,10123,10,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_06_03.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,0,0,0,0,0,1,11;15,593,1,0,0
10125,1,1,101251,10,50,20,4,2,3,4,1,10124,10,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep01_06_04.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,buzhen_icon_8,1527,18,19,0,0,0,1,11;12;15,741,1,0,0
10126,1,1,101261,11,50,20,4,2,3,4,1,10125,11,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_07.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,20,0,0,0,0,1,11;14,593,1,0,0
10127,1,1,101271,11,50,20,4,2,3,4,1,10126,11,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_07_01.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,0,0,0,0,0,1,12;14,593,1,0,0
10128,1,1,101281,11,50,20,4,2,3,4,1,10127,11,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_07_02.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,0,0,0,0,0,1,12;14,610,1,0,0
10129,1,1,101291,11,50,20,4,2,3,4,1,10128,11,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_07_03.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,0,0,0,0,0,1,12;14,610,1,0,0
10130,1,1,101301,11,50,20,4,2,3,4,1,10129,11,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep01_07_04.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,buzhen_icon_8,1527,21,22,0,0,0,1,11;13,784,1,0,0
10131,1,1,101311,13,50,20,4,2,3,4,1,10130,13,0,1001;1003;1005,BaseStar;AllPlayerLiveStar;AllMachineLiveStar,2;2,3;3;3,ep01_08.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,0,0,0,0,0,1,12;13,627,1,0,0
10132,1,1,101321,13,50,20,4,2,3,4,1,10131,13,0,1001;1003;1006,BaseStar;AllPlayerLiveStar;AllMachineLiveStar,2;2,3;3;3,ep01_08_01.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,23,24,0,0,0,1,11;13,627,1,0,0
10133,1,1,101331,13,50,20,4,2,3,4,1,10132,13,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_08_02.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,0,0,0,0,0,1,11;12;13,627,1,0,0
10134,1,1,101341,13,50,20,4,2,3,4,1,10133,13,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_08_03.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,0,0,0,0,0,1,12;13,627,1,0,0
10135,1,1,101351,13,50,20,4,2,3,4,1,10134,13,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep01_08_04.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,buzhen_icon_8,1527,25,26,0,0,0,1,15,784,1,0,0
10136,1,1,101361,15,50,20,4,2,3,4,1,10135,15,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_09.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,27,0,0,0,0,1,13;14,645,1,0,0
10137,1,1,101371,15,50,20,4,2,3,4,1,10136,15,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_09_01.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,0,0,0,0,0,1,11;14,645,1,0,0
10138,1,1,101381,15,50,20,4,2,3,4,1,10137,15,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_09_02.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,0,0,0,0,0,1,11,645,1,0,0
10139,1,1,101391,15,50,20,4,2,3,4,1,10138,15,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_09_03.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,0,buzhen_icon_8,1527,28,29,0,0,0,1,11;15,645,1,0,0
10140,1,1,101401,15,50,20,4,2,3,4,1,10139,15,0,1004;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep01_09_04.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,buzhen_icon_10,1510,30,31,0,0,0,1,14,806,1,0,0
10201,1,2,102011,16,50,20,4,2,3,4,1,10140,16,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_01_01.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,32,33,0,0,0,1,12;15,662,1,0,0
10202,1,2,102021,16,50,20,4,2,3,4,1,10201,16,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_01_02.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,34,35,0,0,0,1,12;14,662,1,0,0
10203,1,2,102031,16,50,20,4,2,3,4,1,10202,16,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_01_03.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,36,37,0,0,0,1,11;15,828,1,0,0
10204,1,2,102041,17,50,20,4,2,3,4,1,10203,17,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_02_01.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,38,0,0,0,0,1,11;12,679,1,0,0
10205,1,2,102051,17,50,20,4,2,3,4,1,10204,17,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_02_02.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,0,0,0,0,1,13;15,679,1,0,0
10206,1,2,102061,17,50,20,4,2,3,4,1,10205,17,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_02_03.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,0,0,0,0,1,13;14,679,1,0,0
10207,1,2,102071,17,50,20,4,2,3,4,1,10206,17,0,1001;1003;1015,BaseStar;AllPlayerLiveStar;BatttleSartLess3;,2;2,3;3;3,ep02_02_04.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,39,0,0,0,1,12;13,679,1,0,0
10208,1,2,102081,18,50,20,4,2,3,4,1,10207,18,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_03_01.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,40,0,0,0,0,1,11;14,696,1,0,0
10209,1,2,102091,18,50,20,4,2,3,4,1,10208,18,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_03_02.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,0,0,0,0,1,11;14,696,1,0,0
10210,1,2,102101,18,50,20,4,2,3,4,1,10209,18,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_03_03.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,0,0,0,0,1,13;14,696,1,0,0
10211,1,2,102111,18,50,20,4,2,3,4,1,10210,18,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_03_04.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,41,0,0,0,1,12,696,1,0,0
10212,1,2,102121,18,50,20,4,2,3,4,1,10211,18,0,1013;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_03_05.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,buzhen_icon_10,1511,42,43,0,0,0,1,11;13,871,1,0,0
10213,1,2,102131,19,50,20,4,2,3,4,1,10212,19,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_04_01.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,44,0,0,0,0,1,12,714,1,0,0
10214,1,2,102141,19,50,20,4,2,3,4,1,10213,19,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_04_02.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,0,0,0,0,1,11;12,714,1,0,0
10215,1,2,102151,19,50,20,4,2,3,4,1,10214,19,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_04_03.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,45,0,0,0,0,1,12;13,714,1,0,0
10216,1,2,102161,19,50,20,4,2,3,4,1,10215,19,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_04_04.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,0,0,0,0,1,11;13,714,1,0,0
10217,1,2,102171,19,50,20,4,2,3,4,1,10216,19,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_04_05.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,buzhen_icon_10,1520,0,46,0,0,0,1,12;13;14,892,1,0,0
10218,1,2,102181,20,50,20,4,2,3,4,1,10217,20,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_05_01.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,47,0,0,0,0,1,12,731,1,0,0
10219,1,2,102191,20,50,20,4,2,3,4,1,10218,20,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_05_02.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,48,0,0,0,0,1,11;13,731,1,0,0
10220,1,2,102201,20,50,20,4,2,3,4,1,10219,20,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_05_03.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,0,0,0,0,1,12;14,731,1,0,0
10221,1,2,102211,20,50,20,4,2,3,4,1,10220,20,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_05_04.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,0,0,0,0,1,12;13,731,1,0,0
10222,1,2,102221,20,50,20,4,2,3,4,1,10221,20,0,1011;1003;1015,BaseStar;AllPlayerLiveStar;BatttleSartLess3;,2;2,3;3;3,ep02_05_05.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,buzhen_icon_10,1512,0,49,0,0,0,1,11;13,914,1,0,0
10223,1,2,102231,21,50,20,4,2,3,4,1,10222,21,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_06_01.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,50,51,0,0,0,1,11;13,748,1,0,0
10224,1,2,102241,21,50,20,4,2,3,4,1,10223,21,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_06_02.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,52,0,0,0,0,1,11;12,748,1,0,0
10225,1,2,102251,21,50,20,4,2,3,4,1,10224,21,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_06_03.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,53,0,0,0,1,12;14,748,1,0,0
10226,1,2,102261,21,50,20,4,2,3,4,1,10225,21,0,1012;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_06_04.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,buzhen_icon_10,1513,54,55,0,0,0,1,12,748,1,0,0
10227,1,2,102271,21,50,20,4,2,3,4,1,10226,21,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_06_05.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,56,57,0,0,0,1,12;13,936,1,0,0
10228,1,2,102281,22,50,20,4,2,3,4,1,10227,22,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_07_01.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,58,0,0,0,0,1,12,766,1,0,0
10229,1,2,102291,22,50,20,4,2,3,4,1,10228,22,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_07_02.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,0,0,0,0,1,11;15,766,1,0,0
10230,1,2,102301,22,50,20,4,2,3,4,1,10229,22,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_07_03.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,59,0,0,0,0,1,11;13;15,766,1,0,0
10231,1,2,102311,22,50,20,4,2,3,4,1,10230,22,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_07_04.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,60,0,0,0,0,1,11;12;14,783,1,0,0
10232,1,2,102321,22,50,20,4,2,3,4,1,10231,22,0,1016;1003;1015,BaseStar;AllPlayerLiveStar;BatttleSartLess3;,2;2,3;3;3,ep02_07_05.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,buzhen_icon_10,1514,0,61,0,0,0,1,11;15,979,1,0,0
10233,1,2,102331,24,50,20,4,2,3,4,1,10232,24,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_08_01.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,62,0,0,0,0,1,13;14,800,1,0,0
10234,1,2,102341,24,50,20,4,2,3,4,1,10233,24,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_08_02.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,0,0,0,0,1,13,800,1,0,0
10235,1,2,102351,24,50,20,4,2,3,4,1,10234,24,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_08_03.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,0,0,0,0,1,13;14,800,1,0,0
10236,1,2,102361,24,50,20,4,2,3,4,1,10235,24,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_08_04.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,0,0,0,0,1,13;14,800,1,0,0
10237,1,2,102371,24,50,20,4,2,3,4,1,10236,24,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep02_08_05.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,64,65,0,0,0,1,12;14,1022,1,0,0
