序号,SSR,最高等级/怪物等级,星级,最高星级,进化所需,可突破次数,名称,性别,职业,阵营,特殊类型,攻击范围,攻击类型,材质,默认视野,AI编号,是否Boss,是否大型,1级血量,1级物攻,1级魔攻,1级物防,1级魔防,1级速度,升级血量,升级物攻,升级魔攻,升级物防,升级魔防,升级速度,暴率,暴击抗性,命中,闪避,反击,反击次数,反击抗性,格挡,格挡抗性,伤害浮动范围,基础仇恨,稀有,占几个格子,可行动次数,每次行动衰减,移动范围,可移动高度,可攻击高度,可否斜向移动,穿越其他人,被其他人穿越,飞行,普攻技能,被动技能,防御技能,怒气技能1,怒气技能2,角色怒气上限,卡牌出场特效,卡面特效,升级类别,唯一编号,转换成碎片数,类型(0玩家卡牌；1普通小怪；2普通BOSS；3需要显示大血条的巨型BOSS）,宗属国,模型缩放,普攻寻路,必杀寻路,,效果命中,效果抵抗,暴击伤害,物理穿透,魔法穿透,可转职业,星石类型,选择类型,血条系数,弓手动作,反击技能
id,SSR,Level,Star,StarMax,StarUP,Breakthrough,Name,Sex,Career,Camp,Specialtype,AttackDist,AttackType,Material,Sight,Strategyid,BossEnemy,BigEnemy,HP_Lev1,Atk_Lev1,Matk_Lev1,Def_Lev1,Mdef_Lev1,Spd_lev1,HP_Levup,Atk_Levup,MAtk_Levup,Def_Levup,Mdef_Levup,Spd_Levup,CriPer,CriAnti,Hit,Dodge,Counter,CounterNo,CounterAnti,Parry,ParryAnti,DamageMinMax,Hate,Rare,Bulk,SpeedTime,SpeedDown,Move,MoveHeight,AttackHeight,MoveCross,Ghost,BeGhost,Fly,NormalSkill,PassiveSkill,DefendSkill,SuperSkill1,SuperSkill2,SuperSkill_MaxPoint,AppearEffect,CardEffect,LevelupType,UniqueID,fragment,Type,Nation,Zoom,AttackAI,SPAttackAI,,EffectHit,EffectMiss,CriDmg,AtkPenP,MatkPenP,CareerChange,StarStoneType,SelectType,HpBarUnit,ArcherATK,CounterSkill
int,int,int,int,int,array,int,int,int,int,int,array,int,int,array,int,int,int,int,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,array,array,array,array,array,array,array,int,int,int,int,int,int,float,int,int,,int,int,int,int,int,array,array,int,int,int,array
502,1,70,3,6,60;20000,0,51,2,12,23,0,1,1,0,100,7,0,0,112,43,0,37,39,78,25,9,0,8,8,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,5,40,0,0,1,81110,91110,,0,0,150,0,0,8;9;12;11;14,1|1;2|2;3|4;4|255,0,1,0,0
503,1,70,4,6,100;100000,0,51,2,12,23,0,1,1,0,100,7,0,0,129,49,0,43,45,89,29,10,0,9,9,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,5,100,0,0,1,81110,91110,,0,0,150,0,0,8;9;12;11;14,1|1;2|2;3|4;4|255,0,1,0,0
504,1,70,5,6,200;200000,0,51,2,12,23,0,1,1,0,100,7,0,0,145,55,0,48,50,100,33,12,0,10,11,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,5,200,0,0,1,81110,91110,,0,0,150,0,0,8;9;12;11;14,1|1;2|2;3|4;4|255,0,1,0,0
505,1,70,6,6,0;0,4,51,2,12,23,0,1,1,0,100,7,0,0,161,61,0,53,56,112,36,13,0,11,12,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,5,400,0,0,1,81110,91110,,0,0,150,0,0,8;9;12;11;14,1|1;2|2;3|4;4|255,0,1,0,0
601,2,70,2,6,30;5000,0,61,2,12,23,0,1,1,0,100,7,0,0,92,40,0,32,33,61,21,8,0,7,7,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,6,10,0,0,1,81110,91110,,0,0,150,0,0,8;9;12;11;10,1|1;2|2;3|4;4|255,0,1,0,0
602,2,70,3,6,60;20000,0,61,2,12,23,0,1,1,0,100,7,0,0,107,47,0,37,39,71,24,10,0,8,8,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,6,40,0,0,1,81110,91110,,0,0,150,0,0,8;9;12;11;10,1|1;2|2;3|4;4|255,0,1,0,0
603,2,70,4,6,100;100000,0,61,2,12,23,0,1,1,0,100,7,0,0,122,54,0,43,45,81,28,11,0,9,9,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,6,100,0,0,1,81110,91110,,0,0,150,0,0,8;9;12;11;10,1|1;2|2;3|4;4|255,0,1,0,0
604,2,70,5,6,200;200000,0,61,2,12,23,0,1,1,0,100,7,0,0,138,61,0,48,50,91,31,13,0,10,11,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,6,200,0,0,1,81110,91110,,0,0,150,0,0,8;9;12;11;10,1|1;2|2;3|4;4|255,0,1,0,0
605,2,70,6,6,0;0,4,61,2,12,23,0,1,1,0,100,7,0,0,153,67,0,53,56,102,35,14,0,11,12,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,6,400,0,0,1,81110,91110,,0,0,150,0,0,8;9;12;11;10,1|1;2|2;3|4;4|255,0,1,0,0
701,2,70,2,6,30;5000,0,71,2,11,22,0,1,1,0,100,7,0,0,126,36,0,42,34,63,29,7,0,9,7,0,7,0,100,0,0,4,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,7,10,0,0,1,81110,91110,,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,0
702,2,70,3,6,60;20000,0,71,2,11,22,0,1,1,0,100,7,0,0,147,42,0,49,40,74,33,9,0,10,8,0,7,0,100,0,0,4,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,7,40,0,0,1,81110,91110,,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,0
703,2,70,4,6,100;100000,0,71,2,11,22,0,1,1,0,100,7,0,0,168,48,0,56,46,84,38,10,0,12,10,0,7,0,100,0,0,4,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,7,100,0,0,1,81110,91110,,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,0
704,2,70,5,6,200;200000,0,71,2,11,22,0,1,1,0,100,7,0,0,190,54,0,63,51,95,43,11,0,13,11,0,7,0,100,0,0,4,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,7,200,0,0,1,81110,91110,,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,0
705,2,70,6,6,0;0,4,71,2,11,22,0,1,1,0,100,7,0,0,211,60,0,70,57,106,48,13,0,15,12,0,7,0,100,0,0,4,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,7,400,0,0,1,81110,91110,,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,0
801,2,70,2,6,30;5000,0,81,2,12,21,0,1,1,0,100,7,0,0,103,34,0,30,26,55,23,7,0,6,5,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,8,10,0,0,1,81110,91110,,0,0,150,0,0,8;9;12;11;14,1|1;2|2;3|4;4|255,0,1,0,0
802,2,70,3,6,60;20000,0,81,2,12,21,0,1,1,0,100,7,0,0,120,40,0,35,31,64,27,8,0,7,6,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,8,40,0,0,1,81110,91110,,0,0,150,0,0,8;9;12;11;14,1|1;2|2;3|4;4|255,0,1,0,0
803,2,70,4,6,100;100000,0,81,2,12,21,0,1,1,0,100,7,0,0,138,46,0,40,35,73,31,10,0,8,7,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,8,100,0,0,1,81110,91110,,0,0,150,0,0,8;9;12;11;14,1|1;2|2;3|4;4|255,0,1,0,0
804,2,70,5,6,200;200000,0,81,2,12,21,0,1,1,0,100,7,0,0,155,51,0,46,40,82,35,11,0,10,8,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,8,200,0,0,1,81110,91110,,0,0,150,0,0,8;9;12;11;14,1|1;2|2;3|4;4|255,0,1,0,0
805,2,70,6,6,0;0,4,81,2,12,21,0,1,1,0,100,7,0,0,172,57,0,51,44,92,39,12,0,11,9,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,8,400,0,0,1,81110,91110,,0,0,150,0,0,8;9;12;11;14,1|1;2|2;3|4;4|255,0,1,0,0
901,2,70,2,6,30;5000,0,91,2,12,21,0,1,1,0,100,209,0,0,92,39,0,32,29,61,21,8,0,7,6,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,9,10,0,0,1,92090,92091,,0,0,150,0,0,8;9;12;11;10,1|1;2|2;3|4;4|255,0,1,0,0
902,2,70,3,6,60;20000,0,91,2,12,21,0,1,1,0,100,209,0,0,107,46,0,37,34,71,24,10,0,8,7,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,9,40,0,0,1,92090,92091,,0,0,150,0,0,8;9;12;11;10,1|1;2|2;3|4;4|255,0,1,0,0
903,2,70,4,6,100;100000,0,91,2,12,21,0,1,1,0,100,209,0,0,122,53,0,43,39,81,28,11,0,9,8,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,9,100,0,0,1,92090,92091,,0,0,150,0,0,8;9;12;11;10,1|1;2|2;3|4;4|255,0,1,0,0
904,2,70,5,6,200;200000,0,91,2,12,21,0,1,1,0,100,209,0,0,138,59,0,48,44,91,31,13,0,10,9,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,9,200,0,0,1,92090,92091,,0,0,150,0,0,8;9;12;11;10,1|1;2|2;3|4;4|255,0,1,0,0
905,2,70,6,6,0;0,4,91,2,12,21,0,1,1,0,100,209,0,0,153,66,0,53,49,102,35,14,0,11,10,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,9,400,0,0,1,92090,92091,,0,0,150,0,0,8;9;12;11;10,1|1;2|2;3|4;4|255,0,1,0,0
1001,1,70,2,6,30;5000,0,101,2,15,21,0,2,2,0,100,12,0,0,103,0,34,30,30,58,23,0,7,6,6,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,50,1,1,15,0,0,0,0,0,0,0,0,0,1020,0,1,1,10,10,0,0,1,81110,92221,,0,0,150,0,0,29;30;31;34;32,1|1;2|2;3|4;4|255,1,1,0,0
1002,1,70,3,6,60;20000,0,101,2,15,21,0,2,2,0,100,12,0,0,120,0,40,35,35,68,27,0,8,7,7,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,50,1,1,15,0,0,0,0,0,0,0,0,0,1020,0,1,1,10,40,0,0,1,81110,92221,,0,0,150,0,0,29;30;31;34;32,1|1;2|2;3|4;4|255,1,1,0,0
1003,1,70,4,6,100;100000,0,101,2,15,21,0,2,2,0,100,12,0,0,138,0,46,40,40,78,31,0,10,8,8,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,50,1,1,15,0,0,0,0,0,0,0,0,0,1020,0,1,1,10,100,0,0,1,81110,92221,,0,0,150,0,0,29;30;31;34;32,1|1;2|2;3|4;4|255,1,1,0,0
1004,1,70,5,6,200;200000,0,101,2,15,21,0,2,2,0,100,12,0,0,155,0,51,46,46,88,35,0,11,10,10,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,50,1,1,15,0,0,0,0,0,0,0,0,0,1020,0,1,1,10,200,0,0,1,81110,92221,,0,0,150,0,0,29;30;31;34;32,1|1;2|2;3|4;4|255,1,1,0,0
1005,1,70,6,6,0;0,4,101,2,15,21,0,2,2,0,100,12,0,0,172,0,57,51,51,98,39,0,12,11,11,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,50,1,1,15,0,0,0,0,0,0,0,0,0,1020,0,1,1,10,400,0,0,1,81110,92221,,0,0,150,0,0,29;30;31;34;32,1|1;2|2;3|4;4|255,1,1,0,0
1101,3,70,2,6,30;5000,0,111,2,0,21,0,0,0,0,0,7,0,0,97,0,46,34,49,54,22,0,10,7,10,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,10,0,0,1,81110,91110,,0,0,150,0,0,0,1|1;2|2;3|4;4|255,0,1,0,0
1102,3,70,3,6,60;20000,0,111,2,0,21,0,0,0,0,0,7,0,0,114,0,53,40,58,63,26,0,11,8,12,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,40,0,0,1,81110,91110,,0,0,150,0,0,0,1|1;2|2;3|4;4|255,0,1,0,0
1103,3,70,4,6,100;100000,0,111,2,0,21,0,0,0,0,0,7,0,0,130,0,61,46,66,72,29,0,13,10,14,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,100,0,0,1,81110,91110,,0,0,150,0,0,0,1|1;2|2;3|4;4|255,0,1,0,0
1104,3,70,5,6,200;200000,0,111,2,0,21,0,0,0,0,0,7,0,0,146,0,69,51,74,81,33,0,15,11,16,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,200,0,0,1,81110,91110,,0,0,150,0,0,0,1|1;2|2;3|4;4|255,0,1,0,0
1105,3,70,6,6,0;0,4,111,2,0,21,0,0,0,0,0,7,0,0,163,0,76,57,83,90,37,0,16,12,18,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,400,0,0,1,81110,91110,,0,0,150,0,0,0,1|1;2|2;3|4;4|255,0,1,0,0
1201,3,70,2,6,30;5000,0,121,2,15,21,0,2,2,0,100,512,0,0,115,0,38,42,42,48,26,0,8,9,9,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,1,1,15,0,0,0,0,0,0,0,0,0,1020,0,1,1,12,10,0,0,1,95120,95121,,0,0,150,0,0,29;30;31;33;32,1|1;2|2;3|4;4|255,1,1,0,0
1202,3,70,3,6,60;20000,0,121,2,15,21,0,2,2,0,100,512,0,0,134,0,44,49,49,56,30,0,9,10,10,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,1,1,15,0,0,0,0,0,0,0,0,0,1020,0,1,1,12,40,0,0,1,95120,95121,,0,0,150,0,0,29;30;31;33;32,1|1;2|2;3|4;4|255,1,1,0,0
1203,3,70,4,6,100;100000,0,121,2,15,21,0,2,2,0,100,512,0,0,153,0,51,56,56,64,35,0,11,12,12,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,1,1,15,0,0,0,0,0,0,0,0,0,1020,0,1,1,12,100,0,0,1,95120,95121,,0,0,150,0,0,29;30;31;33;32,1|1;2|2;3|4;4|255,1,1,0,0
1204,3,70,5,6,200;200000,0,121,2,15,21,0,2,2,0,100,512,0,0,172,0,57,63,63,72,39,0,12,13,13,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,1,1,15,0,0,0,0,0,0,0,0,0,1020,0,1,1,12,200,0,0,1,95120,95121,,0,0,150,0,0,29;30;31;33;32,1|1;2|2;3|4;4|255,1,1,0,0
1205,3,70,6,6,0;0,4,121,2,15,21,0,2,2,0,100,512,0,0,192,0,64,70,70,80,44,0,14,15,15,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,1,1,15,0,0,0,0,0,0,0,0,0,1020,0,1,1,12,400,0,0,1,95120,95121,,0,0,150,0,0,29;30;31;33;32,1|1;2|2;3|4;4|255,1,1,0,0
1301,1,70,2,6,30;5000,0,131,1,14,21,0,2,2,0,100,7,0,0,87,0,39,32,38,52,20,0,8,7,8,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,50,1,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,13,10,0,0,1,81110,91110,,0,0,150,0,0,22;23;24;25;26,1|1;2|2;3|4;4|255,0,1,0,0
