id,text
6310,遗迹神像
6320,遗迹图腾
6321,石室图腾
6322,未知图腾
6323,冰雪图腾
6360,雪元素
6361,雪结晶
6362,兽人战士
6363,流浪者猎犬
6364,小妖精
6365,铁甲食人魔
6370,冰结晶
6371,冰元素
10001,暗月街居民
10002,晓之幻影
10003,长船长光
10004,杂物堆
10005,尖叫死神
10006,言灵魂灯
11048,愿之献灯
19995,演唱会进度
19996,忍者
19997,变异魔狼
19998,烈焰魔狼
19999,不良少年
20001,低阶碎晶塔
20002,中阶碎晶塔
20003,高阶碎晶塔
20004,低阶水晶塔
20005,中阶水晶塔
20006,高阶水晶塔
20007,低阶箭塔
20008,中阶箭塔
20009,高阶箭塔
20010,守卫枪兵
20011,低阶赤血箭塔
20012,中阶赤血箭塔
20013,高阶赤血箭塔
20014,低阶炮塔
20015,中阶炮塔
20016,高阶炮塔
20017,低阶星石炮塔
20018,中阶星石炮塔
20019,高阶星石炮塔
20020,低阶魔法祭坛
20021,中阶魔法祭坛
20022,高阶魔法祭坛
20023,投石车
20024,低阶星石石像
20025,中阶星石石像
20026,高阶星石石像
20027,低阶魔法神像
20028,中阶魔法神像
20029,高阶魔法神像
600000,惊喜宝箱
600001,防御塔
