序号,卡牌资源,最高等级/怪物等级,星级,最高星级,进化所需,可突破次数,名称,性别,职业,阵营,特殊类型,攻击范围,攻击类型,材质,默认视野,AI编号,是否Boss,是否大型,1级血量,1级物攻,1级魔攻,1级物防,1级魔防,1级速度,升级血量,升级物攻,升级魔攻,升级物防,升级魔防,升级速度,暴率,暴击抗性,命中,闪避,反击,反击次数,反击抗性,格挡,格挡抗性,伤害浮动范围,基础仇恨,稀有,占几个格子,可行动次数,每次行动衰减,移动范围,可移动高度,可攻击高度,可否斜向移动,穿越其他人,被其他人穿越,飞行,普攻技能,被动技能,防御技能,怒气技能1,怒气技能2,角色怒气上限,卡牌出场特效,卡面特效,升级类别,唯一编号,转换成碎片数,类型(0玩家卡牌；1普通小怪；2普通BOSS；3需要显示大血条的巨型BOSS）,宗属国,模型缩放,普攻寻路,必杀寻路,SSR,效果命中,效果抵抗,暴击伤害,物理穿透,魔法穿透,可转职业,星石类型,选择类型,血条系数,弓手动作,特殊AI,特殊进攻AI
204,2,80,5,6,200;200000,0,21,1,11,21,0,1,1,0,100,7,0,0,164,54,0,62,52,90,37,11,0,13,11,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,100,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,2,200,0,0,1,81110,91110,1,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
205,2,80,6,6,0;0,4,21,1,11,21,0,1,1,0,100,7,0,0,182,60,0,69,58,100,41,13,0,15,12,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,100,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,2,400,0,0,1,81110,91110,1,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
301,3,80,2,6,30;5000,0,31,2,13,21,0,3,1,0,100,7,0,0,109,38,0,32,32,58,25,8,0,7,7,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,1,1,50,0,0,0,0,0,0,0,0,0,1020,0,1,1,3,10,0,0,1,81110,91110,2,0,0,150,0,0,15;16;17;21;20,1|1;2|2;3|4;4|255,0,1,1,210002|7080;210001|7080;210000|7080;170000|7080;170001|7080;170002|7080;170003|7080;170004|7080;170005|7080;170006|7080;170007|7080;170008|7030;170009|7030;170010|7080;170011|7080;170012|7080;170013|7080;170014|7080;170015|7080;170016|7080;170017|7080;170018|7030;170019|7030;170020|7080;170021|7080;170022|7080;170023|7080;170024|7080;170025|7080;170026|7080;170027|7080;170028|7030;170029|7030,210002|7080;210001|7080;210000|7080
302,3,80,3,6,60;20000,0,31,2,13,21,0,3,1,0,100,7,0,0,127,44,0,38,38,68,29,9,0,8,8,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,1,1,50,0,0,0,0,0,0,0,0,0,1020,0,1,1,3,40,0,0,1,81110,91110,2,0,0,150,0,0,15;16;17;21;20,1|1;2|2;3|4;4|255,0,1,1,210002|7080;210001|7080;210000|7080;170000|7080;170001|7080;170002|7080;170003|7080;170004|7080;170005|7080;170006|7080;170007|7080;170008|7030;170009|7030;170010|7080;170011|7080;170012|7080;170013|7080;170014|7080;170015|7080;170016|7080;170017|7080;170018|7030;170019|7030;170020|7080;170021|7080;170022|7080;170023|7080;170024|7080;170025|7080;170026|7080;170027|7080;170028|7030;170029|7030,210002|7080;210001|7080;210000|7080
303,3,80,4,6,100;100000,0,31,2,13,21,0,3,1,0,100,7,0,0,145,51,0,43,43,78,33,11,0,9,9,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,1,1,50,0,0,0,0,0,0,0,0,0,1020,0,1,1,3,100,0,0,1,81110,91110,2,0,0,150,0,0,15;16;17;21;20,1|1;2|2;3|4;4|255,0,1,1,210002|7080;210001|7080;210000|7080;170000|7080;170001|7080;170002|7080;170003|7080;170004|7080;170005|7080;170006|7080;170007|7080;170008|7030;170009|7030;170010|7080;170011|7080;170012|7080;170013|7080;170014|7080;170015|7080;170016|7080;170017|7080;170018|7030;170019|7030;170020|7080;170021|7080;170022|7080;170023|7080;170024|7080;170025|7080;170026|7080;170027|7080;170028|7030;170029|7030,210002|7080;210001|7080;210000|7080
304,3,80,5,6,200;200000,0,31,2,13,21,0,3,1,0,100,7,0,0,164,57,0,48,48,88,37,12,0,10,10,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,1,1,50,0,0,0,0,0,0,0,0,0,1020,0,1,1,3,200,0,0,1,81110,91110,2,0,0,150,0,0,15;16;17;21;20,1|1;2|2;3|4;4|255,0,1,1,210002|7080;210001|7080;210000|7080;170000|7080;170001|7080;170002|7080;170003|7080;170004|7080;170005|7080;170006|7080;170007|7080;170008|7030;170009|7030;170010|7080;170011|7080;170012|7080;170013|7080;170014|7080;170015|7080;170016|7080;170017|7080;170018|7030;170019|7030;170020|7080;170021|7080;170022|7080;170023|7080;170024|7080;170025|7080;170026|7080;170027|7080;170028|7030;170029|7030,210002|7080;210001|7080;210000|7080
305,3,80,6,6,0;0,4,31,2,13,21,0,3,1,0,100,7,0,0,182,64,0,54,54,98,41,14,0,11,11,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,1,1,50,0,0,0,0,0,0,0,0,0,1020,0,1,1,3,400,0,0,1,81110,91110,2,0,0,150,0,0,15;16;17;21;20,1|1;2|2;3|4;4|255,0,1,1,210002|7080;210001|7080;210000|7080;170000|7080;170001|7080;170002|7080;170003|7080;170004|7080;170005|7080;170006|7080;170007|7080;170008|7030;170009|7030;170010|7080;170011|7080;170012|7080;170013|7080;170014|7080;170015|7080;170016|7080;170017|7080;170018|7030;170019|7030;170020|7080;170021|7080;170022|7080;170023|7080;170024|7080;170025|7080;170026|7080;170027|7080;170028|7030;170029|7030,210002|7080;210001|7080;210000|7080
401,4,80,2,6,30;5000,0,41,2,15,21,0,1,2,0,100,504,0,0,126,0,42,38,38,56,29,0,9,8,8,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,4,10,0,0,1,95040,95041,3,0,0,150,0,0,29;30;31;34;32,1|1;2|2;3|4;4|255,1,1,0,0,0
402,4,80,3,6,60;20000,0,41,2,15,21,0,1,2,0,100,504,0,0,147,0,49,44,44,65,33,0,10,9,9,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,4,40,0,0,1,95040,95041,3,0,0,150,0,0,29;30;31;34;32,1|1;2|2;3|4;4|255,1,1,0,0,0
403,4,80,4,6,100;100000,0,41,2,15,21,0,1,2,0,100,504,0,0,168,0,56,51,51,75,38,0,12,11,11,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,4,100,0,0,1,95040,95041,3,0,0,150,0,0,29;30;31;34;32,1|1;2|2;3|4;4|255,1,1,0,0,0
404,4,80,5,6,200;200000,0,41,2,15,21,0,1,2,0,100,504,0,0,190,0,63,57,57,84,43,0,13,12,12,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,4,200,0,0,1,95040,95041,3,0,0,150,0,0,29;30;31;34;32,1|1;2|2;3|4;4|255,1,1,0,0,0
405,4,80,6,6,0;0,4,41,2,15,21,0,1,2,0,100,504,0,0,211,0,70,64,64,94,48,0,15,14,14,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,4,400,0,0,1,95040,95041,3,0,0,150,0,0,29;30;31;34;32,1|1;2|2;3|4;4|255,1,1,0,0,0
501,5,80,2,6,30;5000,0,51,2,12,23,0,1,1,0,100,7,0,0,96,36,0,32,33,67,22,8,0,7,7,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,5,10,0,0,1,81110,91110,1,0,0,150,0,0,8;9;12;11;14,1|1;2|2;3|4;4|255,0,1,0,210002|7070;210001|7070;210000|7070;170000|7070;170001|7070;170002|7070;170003|7070;170004|7070;170005|7070;170006|7070;170007|7070;170008|7020;170009|7020;170010|7070;170011|7070;170012|7070;170013|7070;170014|7070;170015|7070;170016|7070;170017|7070;170018|7020;170019|7020;170020|7070;170021|7070;170022|7070;170023|7070;170024|7070;170025|7070;170026|7070;170027|7070;170028|7020;170029|7020,210002|7070;210001|7070;210000|7070
502,5,80,3,6,60;20000,0,51,2,12,23,0,1,1,0,100,7,0,0,112,43,0,37,39,78,25,9,0,8,8,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,5,40,0,0,1,81110,91110,1,0,0,150,0,0,8;9;12;11;14,1|1;2|2;3|4;4|255,0,1,0,210002|7070;210001|7070;210000|7070;170000|7070;170001|7070;170002|7070;170003|7070;170004|7070;170005|7070;170006|7070;170007|7070;170008|7020;170009|7020;170010|7070;170011|7070;170012|7070;170013|7070;170014|7070;170015|7070;170016|7070;170017|7070;170018|7020;170019|7020;170020|7070;170021|7070;170022|7070;170023|7070;170024|7070;170025|7070;170026|7070;170027|7070;170028|7020;170029|7020,210002|7070;210001|7070;210000|7070
503,5,80,4,6,100;100000,0,51,2,12,23,0,1,1,0,100,7,0,0,129,49,0,43,45,89,29,10,0,9,9,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,5,100,0,0,1,81110,91110,1,0,0,150,0,0,8;9;12;11;14,1|1;2|2;3|4;4|255,0,1,0,210002|7070;210001|7070;210000|7070;170000|7070;170001|7070;170002|7070;170003|7070;170004|7070;170005|7070;170006|7070;170007|7070;170008|7020;170009|7020;170010|7070;170011|7070;170012|7070;170013|7070;170014|7070;170015|7070;170016|7070;170017|7070;170018|7020;170019|7020;170020|7070;170021|7070;170022|7070;170023|7070;170024|7070;170025|7070;170026|7070;170027|7070;170028|7020;170029|7020,210002|7070;210001|7070;210000|7070
504,5,80,5,6,200;200000,0,51,2,12,23,0,1,1,0,100,7,0,0,145,55,0,48,50,100,33,12,0,10,11,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,5,200,0,0,1,81110,91110,1,0,0,150,0,0,8;9;12;11;14,1|1;2|2;3|4;4|255,0,1,0,210002|7070;210001|7070;210000|7070;170000|7070;170001|7070;170002|7070;170003|7070;170004|7070;170005|7070;170006|7070;170007|7070;170008|7020;170009|7020;170010|7070;170011|7070;170012|7070;170013|7070;170014|7070;170015|7070;170016|7070;170017|7070;170018|7020;170019|7020;170020|7070;170021|7070;170022|7070;170023|7070;170024|7070;170025|7070;170026|7070;170027|7070;170028|7020;170029|7020,210002|7070;210001|7070;210000|7070
505,5,80,6,6,0;0,4,51,2,12,23,0,1,1,0,100,7,0,0,161,61,0,53,56,112,36,13,0,11,12,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,5,400,0,0,1,81110,91110,1,0,0,150,0,0,8;9;12;11;14,1|1;2|2;3|4;4|255,0,1,0,210002|7070;210001|7070;210000|7070;170000|7070;170001|7070;170002|7070;170003|7070;170004|7070;170005|7070;170006|7070;170007|7070;170008|7020;170009|7020;170010|7070;170011|7070;170012|7070;170013|7070;170014|7070;170015|7070;170016|7070;170017|7070;170018|7020;170019|7020;170020|7070;170021|7070;170022|7070;170023|7070;170024|7070;170025|7070;170026|7070;170027|7070;170028|7020;170029|7020,210002|7070;210001|7070;210000|7070
601,6,80,2,6,30;5000,0,61,2,12,23,0,1,1,0,100,7,0,0,92,40,0,32,33,61,21,8,0,7,7,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,6,10,0,0,1,81110,91110,2,0,0,150,0,0,8;9;12;11;10,1|1;2|2;3|4;4|255,0,1,0,210002|7070;210001|7070;210000|7070;170000|7070;170001|7070;170002|7070;170003|7070;170004|7070;170005|7070;170006|7070;170007|7070;170008|7020;170009|7020;170010|7070;170011|7070;170012|7070;170013|7070;170014|7070;170015|7070;170016|7070;170017|7070;170018|7020;170019|7020;170020|7070;170021|7070;170022|7070;170023|7070;170024|7070;170025|7070;170026|7070;170027|7070;170028|7020;170029|7020,210002|7070;210001|7070;210000|7070
602,6,80,3,6,60;20000,0,61,2,12,23,0,1,1,0,100,7,0,0,107,47,0,37,39,71,24,10,0,8,8,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,6,40,0,0,1,81110,91110,2,0,0,150,0,0,8;9;12;11;10,1|1;2|2;3|4;4|255,0,1,0,210002|7070;210001|7070;210000|7070;170000|7070;170001|7070;170002|7070;170003|7070;170004|7070;170005|7070;170006|7070;170007|7070;170008|7020;170009|7020;170010|7070;170011|7070;170012|7070;170013|7070;170014|7070;170015|7070;170016|7070;170017|7070;170018|7020;170019|7020;170020|7070;170021|7070;170022|7070;170023|7070;170024|7070;170025|7070;170026|7070;170027|7070;170028|7020;170029|7020,210002|7070;210001|7070;210000|7070
603,6,80,4,6,100;100000,0,61,2,12,23,0,1,1,0,100,7,0,0,122,54,0,43,45,81,28,11,0,9,9,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,6,100,0,0,1,81110,91110,2,0,0,150,0,0,8;9;12;11;10,1|1;2|2;3|4;4|255,0,1,0,210002|7070;210001|7070;210000|7070;170000|7070;170001|7070;170002|7070;170003|7070;170004|7070;170005|7070;170006|7070;170007|7070;170008|7020;170009|7020;170010|7070;170011|7070;170012|7070;170013|7070;170014|7070;170015|7070;170016|7070;170017|7070;170018|7020;170019|7020;170020|7070;170021|7070;170022|7070;170023|7070;170024|7070;170025|7070;170026|7070;170027|7070;170028|7020;170029|7020,210002|7070;210001|7070;210000|7070
604,6,80,5,6,200;200000,0,61,2,12,23,0,1,1,0,100,7,0,0,138,61,0,48,50,91,31,13,0,10,11,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,6,200,0,0,1,81110,91110,2,0,0,150,0,0,8;9;12;11;10,1|1;2|2;3|4;4|255,0,1,0,210002|7070;210001|7070;210000|7070;170000|7070;170001|7070;170002|7070;170003|7070;170004|7070;170005|7070;170006|7070;170007|7070;170008|7020;170009|7020;170010|7070;170011|7070;170012|7070;170013|7070;170014|7070;170015|7070;170016|7070;170017|7070;170018|7020;170019|7020;170020|7070;170021|7070;170022|7070;170023|7070;170024|7070;170025|7070;170026|7070;170027|7070;170028|7020;170029|7020,210002|7070;210001|7070;210000|7070
605,6,80,6,6,0;0,4,61,2,12,23,0,1,1,0,100,7,0,0,153,67,0,53,56,102,35,14,0,11,12,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,6,400,0,0,1,81110,91110,2,0,0,150,0,0,8;9;12;11;10,1|1;2|2;3|4;4|255,0,1,0,210002|7070;210001|7070;210000|7070;170000|7070;170001|7070;170002|7070;170003|7070;170004|7070;170005|7070;170006|7070;170007|7070;170008|7020;170009|7020;170010|7070;170011|7070;170012|7070;170013|7070;170014|7070;170015|7070;170016|7070;170017|7070;170018|7020;170019|7020;170020|7070;170021|7070;170022|7070;170023|7070;170024|7070;170025|7070;170026|7070;170027|7070;170028|7020;170029|7020,210002|7070;210001|7070;210000|7070
701,7,80,2,6,30;5000,0,71,2,11,22,0,1,1,0,100,7,0,0,126,36,0,42,34,63,29,7,0,9,7,0,7,0,100,0,0,4,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,7,10,0,0,1,81110,91110,2,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
702,7,80,3,6,60;20000,0,71,2,11,22,0,1,1,0,100,7,0,0,147,42,0,49,40,74,33,9,0,10,8,0,7,0,100,0,0,4,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,7,40,0,0,1,81110,91110,2,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
703,7,80,4,6,100;100000,0,71,2,11,22,0,1,1,0,100,7,0,0,168,48,0,56,46,84,38,10,0,12,10,0,7,0,100,0,0,4,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,7,100,0,0,1,81110,91110,2,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
